user_id,timestamp,amount,account_balance,amount_to_balance_ratio,zscore_amount
user_1,10/08/2023 17:18,6506.675492,375165.5787,0.017343477,-1.349786642
user_1,01/10/2023 07:14,54941.38243,375165.5787,0.146445691,0.802991961
user_1,08/01/2023 21:04,49430.90982,375165.5787,0.131757583,0.55806785
user_1,15/03/2023 05:03,63717.94642,375165.5787,0.169839532,1.193084115
user_1,10/05/2023 17:53,36723.59052,375165.5787,0.097886354,-0.006734681
user_1,23/02/2023 18:54,52011.4027,375165.5787,0.13863586,0.67276308
user_1,02/09/2023 23:04,70835.76965,375165.5787,0.188812017,1.509450178
user_1,25/12/2023 10:22,3314.826234,375165.5787,0.008835635,-1.491654844
user_1,14/09/2023 06:40,13549.9502,375165.5787,0.036117253,-1.036734039
user_1,10/08/2023 03:00,35506.95635,375165.5787,0.094643428,-0.06081045
user_1,27/11/2023 05:26,2548.038594,375165.5787,0.006791771,-1.525736273
user_1,18/07/2023 18:14,22311.72514,375165.5787,0.059471674,-0.647299214
user_1,26/08/2023 23:43,8650.853962,375165.5787,0.023058762,-1.25448429
user_1,05/10/2023 17:53,55904.76941,375165.5787,0.149013589,0.845811646
user_1,19/07/2023 18:14,34151.39366,375165.5787,0.091030189,-0.121061178
user_1,23/06/2023 03:21,48362.69889,375165.5787,0.128910278,0.510589053
user_1,04/03/2023 05:33,44740.39054,375165.5787,0.119255052,0.349588225
user_1,26/03/2023 14:26,42069.79612,375165.5787,0.11213661,0.230888249
user_1,09/11/2023 17:48,5774.961532,375165.5787,0.015393101,-1.382309151
user_1,04/04/2023 02:15,33092.57621,375165.5787,0.088207922,-0.168122463
user_1,09/11/2023 13:02,60325.09378,375165.5787,0.160795918,1.042281911
user_1,01/08/2023 23:31,59330.63203,375165.5787,0.158145191,0.998081045
user_1,07/07/2023 07:08,46962.9542,375165.5787,0.125179272,0.448374566
user_1,26/06/2023 16:44,46210.51802,375165.5787,0.123173662,0.414931017
user_1,28/05/2023 02:37,31327.36482,375165.5787,0.083502769,-0.246580857
user_1,27/03/2023 20:18,65286.35942,375165.5787,0.174020121,1.262795406
user_1,29/03/2023 01:01,18.82189644,375165.5787,5.02E-05,-1.63815243
